FRAME,OpenPose_NumberOfPeople,Volunteer1,Volunteer2,Volunteer3,Volunteer4,AVERAGE
P19_23469,0,0,0,0,0,0
P19_24090,0,0,0,0,0,0
P19_27119,0,0,0,0,0,0
P19_27442,0,0,2,0,2,1
P19_27976,0,2,2,3,2,2.25
P19_28386,0,0,0,0,0,0
P19_29081,0,0,0,0,0,0
P19_29627,0,0,0,0,0,0
P19_30427,0,0,0,0,0,0
P19_30958,0,0,0,0,0,0
P19_34316,0,0,0,0,0,0
P20_9418,0,0,0,0,0,0
P20_9846,0,0,0,0,0,0
P20_9933,0,0,0,0,0,0
P20_10308,0,0,0,0,0,0
P20_12666,0,0,0,0,0,0
P20_13265,0,0,0,0,0,0
P20_16250,0,0,0,0,1,0.25
P20_17648,0,0,0,0,0,0
P20_19159,2,0,0,0,1,0.25
P20_19913,0,0,0,0,0,0
P20_25548,0,0,0,0,0,0
P20_27174,1,1,1,1,1,1
P20_28591,0,0,0,0,0,0
P20_28619,0,0,0,0,0,0
P20_31637,0,0,0,0,0,0
P20_32813,0,0,0,0,0,0
P20_33551,0,0,0,0,0,0
P20_33742,0,0,0,0,0,0
P20_34630,0,0,0,0,0,0
P21_10021,0,0,0,0,0,0
P21_11092,1,0,0,0,0,0
P21_12160,0,0,0,0,0,0
P21_12951,0,0,0,0,0,0
P21_15931,0,0,0,0,1,0.25
P21_15977,0,1,0,0,1,0.5
P21_18035,2,2,3,3,3,2.75
P21_18796,0,0,0,0,0,0
P21_19406,0,0,0,0,0,0
P21_19965,0,0,0,0,0,0
P21_20245,0,0,0,0,0,0
P21_23449,0,0,0,1,0,0.25
P21_23883,0,0,0,0,0,0
P21_24308,0,0,0,0,0,0
P21_26086,0,0,0,0,1,0.25
P21_29200,2,2,2,2,2,2
P21_29536,0,0,0,0,0,0
P21_32325,0,0,1,1,1,0.75
P21_33159,1,1,1,1,1,1
P22_8012,0,0,0,0,0,0
P22_9016,0,0,0,0,0,0
P22_9451,0,0,0,0,0,0
P22_10307,0,0,0,0,0,0
P22_12231,0,0,0,0,0,0
P22_13921,3,6,6,4,7,5.75
P22_14350,1,6,6,5,8,6.25
P22_15704,1,2,2,1,2,1.75
P22_16385,2,4,3,3,3,3.25
P22_17436,2,2,2,2,2,2
P22_19268,3,3,4,2,4,3.25
P22_20993,1,1,1,1,1,1
P22_22371,1,2,2,2,2,2
P22_22946,0,0,0,0,0,0
P22_27156,1,1,1,1,1,1
P22_28467,1,0,0,0,2,0.5
P22_30061,0,1,1,1,2,1.25
P22_30117,1,2,1,1,3,1.75
P22_30530,0,0,0,0,1,0.25
P22_34947,5,7,5,5,8,6.25
P23_8245,1,1,1,1,1,1
P23_8946,0,0,1,0,1,0.5
P23_10347,0,0,0,0,0,0
P23_10683,0,0,0,0,0,0
P23_12147,1,1,3,1,4,2.25
P23_13726,0,0,2,1,3,1.5
P23_14505,1,1,2,0,2,1.25
P23_15363,0,0,0,0,0,0
P23_16784,1,3,3,4,4,3.5
P23_18022,0,0,0,0,0,0
P23_18079,0,1,0,0,2,0.75
P23_19885,0,0,0,0,0,0
P23_22797,2,3,3,3,3,3
P23_24674,0,0,0,0,2,0.5
P23_26604,1,1,0,0,2,0.75
P23_26902,0,0,0,0,0,0
P23_28445,0,0,0,0,0,0
P23_28888,1,1,1,1,4,1.75
P23_28896,1,1,1,1,4,1.75
P23_34071,1,1,1,1,1,1
P24_7437,0,1,1,1,1,1
P24_7774,1,0,0,1,0,0.25
P24_10133,0,0,0,0,0,0
P24_11110,0,0,0,0,0,0
P24_12316,2,0,0,0,2,0.5
P24_12766,1,1,1,0,5,1.75
P24_12816,1,1,1,0,3,1.25
P24_14797,2,5,5,5,10,6.25
P24_19374,0,0,0,0,0,0
P24_20321,2,0,0,0,0,0
P24_21032,0,0,0,0,0,0
P24_21670,2,2,3,2,3,2.5
P24_21787,2,4,4,4,4,4
P24_22092,2,2,2,2,2,2
P24_23306,7,11,12,7,11,10.25
P24_24897,1,1,1,1,3,1.5
P24_28852,5,9,10,7,11,9.25
P24_32052,4,4,4,5,5,4.5
P24_33616,0,0,0,0,1,0.25
P25_8208,0,0,0,0,1,0.25
P25_8721,0,0,0,0,1,0.25
P25_9264,1,2,2,2,2,2
P25_9620,2,2,2,2,2,2
P25_9708,2,2,2,2,2,2
P25_10412,1,1,1,1,1,1
P25_14532,5,10,5,4,14,8.25
P25_15921,2,2,3,2,7,3.5
P25_16095,2,1,3,1,3,2
P25_16169,2,5,5,4,5,4.75
P25_18070,0,0,0,0,1,0.25
P25_21659,2,2,2,2,3,2.25
P25_23358,1,4,5,4,6,4.75
P25_24752,1,1,1,1,1,1
P25_24811,2,3,3,3,3,3
P25_28800,1,2,3,0,3,2
P25_30619,8,10,8,5,13,9
P25_31095,3,3,3,2,3,2.75
P25_33340,0,5,7,3,5,5
P25_33936,5,8,10,5,11,8.5
P27_8060,0,0,0,0,0,0
P27_9477,0,2,2,1,2,1.75
P27_14523,9,10,11,8,11,10
P27_15835,4,6,7,3,4,5
P27_18172,2,1,1,1,1,1
P27_19444,1,1,1,1,0,0.75
P27_21400,5,9,9,8,9,8.75
P27_22300,3,5,5,5,5,5
P27_22695,4,8,8,8,9,8.25
P27_22900,2,5,6,6,5,5.5
P27_22982,1,3,4,5,4,4
P27_26052,0,0,0,0,0,0
P27_29752,2,2,2,1,2,1.75
P27_32217,2,5,4,3,5,4.25
P27_32777,3,3,6,6,9,6
P27_33028,2,3,3,2,3,2.75
P27_33760,1,0,0,0,0,0
P27_34549,4,4,7,6,7,6
P27_34684,2,2,4,5,9,5
P28_13135,0,0,0,0,0,0
P28_15009,1,0,0,0,1,0.25
P28_16776,0,0,0,0,0,0
P28_17247,0,0,0,0,0,0
P28_19422,4,6,5,5,10,6.5
P28_19993,10,14,14,10,14,13
P28_20287,9,12,14,19,16,15.25
P28_24111,1,0,0,0,0,0
P28_31277,0,4,0,4,2,2.5
P28_32453,0,0,0,0,0,0
P28_32647,0,0,0,0,0,0
P28_32732,1,0,0,0,0,0
P28_33055,1,0,0,0,0,0
P28_33878,5,6,8,10,10,8.5
P28_33917,7,8,7,8,9,8
P28_34441,3,3,3,5,4,3.75
P29_11533,4,5,4,4,7,5
P29_13498,0,0,0,0,0,0
P29_13750,1,2,0,2,1,1.25
P29_17190,10,17,15,10,17,14.75
P29_19389,0,0,0,0,0,0
P29_20325,2,2,5,6,5,4.5
P29_21121,3,8,5,7,8,7
P29_21844,0,0,0,0,0,0
P29_21870,2,0,0,0,0,0
P29_22169,2,4,5,2,4,3.75
P29_25804,2,2,2,3,2,2.25
P29_26609,4,5,5,6,5,5.25
P29_28037,1,1,1,1,1,1
P29_28386,0,0,0,0,0,0
P29_30733,2,1,4,1,5,2.75
P29_31813,11,14,14,10,14,13
P29_32801,4,4,4,4,4,4
P29_34225,6,8,7,7,9,7.75
P31_8335,0,0,0,0,0,0
P31_11949,0,0,0,0,0,0
P31_13243,3,3,3,2,3,2.75
P31_15581,0,0,0,0,0,0
P31_15686,0,0,0,0,0,0
P31_17093,0,0,0,0,0,0
P31_17746,0,0,0,0,0,0
P31_18419,1,1,1,2,1,1.25
P31_19831,3,3,3,3,3,3
P31_21860,1,1,1,1,2,1.25
P31_21949,1,1,1,1,1,1
P31_23542,1,0,0,0,0,0
P31_24158,1,1,1,1,1,1
P31_24505,1,0,0,0,0,0
P31_25278,1,1,1,1,2,1.25
P31_28618,0,0,0,0,0,0
P31_28638,0,0,0,0,0,0
P31_29231,1,1,1,1,2,1.25
P31_31732,0,0,0,1,1,0.5
P31_32417,1,1,1,1,1,1
P32_9390,0,0,0,0,0,0
P32_18547,0,1,1,1,2,1.25
P32_20194,1,1,1,1,2,1.25
P32_20582,0,1,2,0,3,1.5
P32_21097,2,3,3,3,3,3
P32_21951,2,1,1,1,2,1.25
P32_22451,2,2,2,2,2,2
P32_23540,2,4,5,4,5,4.5
P32_24510,1,1,1,1,1,1
P32_25343,1,2,3,1,3,2.25
P32_25614,6,5,7,0,8,5
P32_26212,1,1,1,5,2,2.25
P32_27100,0,0,0,4,0,1
P32_29511,5,4,3,2,6,3.75
P32_29878,1,2,2,2,3,2.25
P32_31042,3,5,6,6,7,6
P32_32746,2,4,6,4,6,5
P32_32926,3,4,4,3,5,4
P32_33910,2,5,5,6,4,5
P33_8921,2,1,2,1,2,1.5
P33_10453,0,0,0,0,0,0
P33_12952,2,2,2,2,2,2
P33_16324,0,0,0,0,0,0
P33_18092,2,2,3,2,3,2.5
P33_19333,0,2,2,2,2,2
P33_22170,0,2,2,2,3,2.25
P33_22369,4,7,8,2,7,6
P33_24846,2,3,2,5,3,3.25
P33_24961,2,4,3,5,4,4
P33_25288,3,5,5,5,5,5
P33_25850,2,3,3,2,3,2.75
P33_27978,2,1,2,1,2,1.5
P33_28406,1,1,1,1,2,1.25
P33_28483,2,3,3,1,3,2.5
P33_29830,2,5,10,6,6,6.75
P33_30048,3,3,3,4,3,3.25
P33_32529,1,1,6,1,2,2.5
P33_34353,8,8,6,5,8,6.75
P33_34676,6,7,6,5,6,6
